Date,Open,High,Low,Close,Volume,Change
2023-02-03,69900,71600,69700,71200,2211215,0.0215208034
2023-02-06,70900,71600,70500,70500,1326873,-0.00983146067
2023-02-07,70600,71300,69700,71300,1352790,0.0113475177
2023-02-08,71700,71800,70600,71500,1154049,0.00280504909
2023-02-09,71400,72200,70900,71700,1074569,0.0027972028
2023-02-10,71400,72600,71100,72400,1067878,0.00976290098
2023-02-13,72400,73400,72100,73200,1443643,0.0110497238
2023-02-14,73500,74300,72900,73500,1151903,0.00409836066
2023-02-15,73500,74000,72000,72600,1073567,-0.012244898
2023-02-16,73200,76700,73100,76500,2208024,0.0537190083
2023-02-17,75600,76800,75500,76400,1121854,-0.00130718954
2023-02-20,76500,76800,75600,76300,847290,-0.00130890052
2023-02-21,76800,76900,75500,76600,800396,0.00393184797
2023-02-22,75800,76000,74300,74500,1281613,-0.0274151436
2023-02-23,74500,77300,74500,76400,1440318,0.0255033557
2023-02-24,76300,77000,75200,75300,976800,-0.0143979058
2023-02-27,75000,76200,74200,76000,961024,0.00929614874
2023-02-28,76200,77200,75300,75300,1666461,-0.00921052632
2023-03-02,75700,78500,75700,77800,1916651,0.0332005312
2023-03-03,78400,79100,77400,78200,1149778,0.00514138817
2023-03-06,78800,79300,77500,78500,1204893,0.00383631714
2023-03-07,78500,79000,77600,77600,992331,-0.0114649682
2023-03-08,76800,79200,76700,78900,1306974,0.0167525773
2023-03-09,78900,79700,78100,78100,1315822,-0.010139417
2023-03-10,77300,78500,77300,78000,851372,-0.00128040973
2023-03-13,77700,79200,77400,78800,1422962,0.0102564103
2023-03-14,78500,78900,76300,76300,1366264,-0.0317258883
2023-03-15,77600,80000,77500,79600,1755601,0.0432503277
2023-03-16,78500,79900,77900,79100,1099113,-0.00628140704
2023-03-17,79700,80400,78600,80200,1454231,0.0139064475
2023-03-20,80000,80000,77900,78000,997524,-0.0274314214
2023-03-21,78700,79300,77400,77700,969220,-0.00384615385
2023-03-22,78700,79100,77900,78900,967219,0.0154440154
2023-03-23,77700,78600,77400,78400,1361870,-0.00633713561
2023-03-24,77900,78400,76200,77600,1261980,-0.0102040816
2023-03-27,77000,77000,75100,76000,1635935,-0.0206185567
2023-03-28,76500,76900,76200,76900,792849,0.0118421053
2023-03-29,77600,79500,77500,79500,1500632,0.033810143
2023-03-30,78600,79900,78200,79400,1033563,-0.00125786164
2023-03-31,80100,81500,79800,81000,1577792,0.0201511335
2023-04-03,81500,81600,80400,81200,807758,0.0024691358
2023-04-04,80600,81700,79700,80100,1009704,-0.013546798
2023-04-05,80200,81800,80100,81300,1013013,0.0149812734
2023-04-06,82000,83000,81000,81000,1364098,-0.0036900369
2023-04-07,80600,81500,80000,80100,1128013,-0.0111111111
2023-04-10,80200,82000,79500,81000,1009786,0.0112359551
2023-04-11,81000,85500,81000,85000,3307242,0.049382716
2023-04-12,86200,86500,84100,86100,2437920,0.0129411765
2023-04-13,85600,86600,85000,86600,1305756,0.00580720093
2023-04-14,86900,87000,85000,85300,1163781,-0.0150115473
2023-04-17,85100,85300,84200,84500,1161544,-0.00937866354
2023-04-18,83600,83600,81000,82700,2125174,-0.0213017751
2023-04-19,82800,85900,82300,85400,1758223,0.0326481258
2023-04-20,84400,85200,83600,84100,1200517,-0.0152224824
2023-04-21,83300,83800,82200,83300,945223,-0.00951248514
2023-04-24,83700,84900,83500,84700,938376,0.0168067227
2023-04-25,84900,87100,83500,86600,2444751,0.0224321133
2023-04-26,87900,89700,85200,85700,3309719,-0.0103926097
2023-04-27,86400,88500,86200,86600,1899151,0.0105017503
2023-04-28,86700,86700,84300,84500,1648678,-0.0242494226
2023-05-02,85100,86900,84600,86900,1301927,0.0284023669
2023-05-03,86400,87200,85600,86500,853646,-0.00460299194
2023-05-04,86200,86700,85700,85900,649435,-0.00693641618
2023-05-08,86500,87500,86400,87100,1094022,0.0139697322
2023-05-09,86700,87800,85300,87600,1237173,0.00574052813
2023-05-10,87200,90000,87100,90000,2778199,0.0273972603
2023-05-11,90500,91900,89400,90100,2250100,0.00111111111
2023-05-12,90000,90300,88800,89400,1133345,-0.00776914539
2023-05-15,89500,90100,88500,90000,1056421,0.0067114094
2023-05-16,89200,89400,86700,87300,1866373,-0.03
2023-05-17,87300,89100,87300,88100,1077219,0.00916380298
2023-05-18,89100,90000,88500,89900,1385713,0.020431328
2023-05-19,89300,89700,88400,88700,1125650,-0.0133481646
2023-05-22,88700,89600,88200,88800,966583,0.00112739572
2023-05-23,89600,89900,88700,88700,784013,-0.00112612613
2023-05-24,88500,89300,88400,89100,606275,0.00450958286
2023-05-25,89100,89100,87100,87100,1341962,-0.0224466891
2023-05-26,87100,87500,86500,87400,848329,0.00344431688
2023-05-30,87600,87900,85500,85600,1336978,-0.0205949657
2023-05-31,85700,87200,85200,85900,1496401,0.0035046729
2023-06-01,85000,85500,83600,84200,1365020,-0.019790454
2023-06-02,84900,85400,84400,85200,894151,0.0118764846
2023-06-05,85700,86200,85300,86200,689610,0.0117370892
2023-06-07,87600,87600,81100,82000,3985993,-0.0487238979
2023-06-08,81800,82200,80800,81400,2402672,-0.00731707317
2023-06-09,82100,83100,81600,82900,1423561,0.0184275184
2023-06-12,82600,82900,81300,81600,1076108,-0.015681544
2023-06-13,82000,82500,81600,82300,1027454,0.00857843137
2023-06-14,82700,83700,82500,83000,1331782,0.0085054678
2023-06-15,83500,83800,82100,82300,976819,-0.00843373494
2023-06-16,82900,83300,81400,81600,1396059,-0.0085054678
2023-06-19,81600,82400,81200,82300,592234,0.00857843137
2023-06-20,81700,82000,81100,81700,700544,-0.00729040097
2023-06-21,81200,84000,81000,83900,1636970,0.0269277846
2023-06-22,83400,84000,82700,83400,764933,-0.00595947557
2023-06-23,83100,83900,83100,83400,895139,0
2023-06-26,83300,85600,83300,85500,1332113,0.0251798561
2023-06-27,85500,86500,84900,86200,1041380,0.0081871345
2023-06-28,86400,86700,85800,86400,953623,0.00232018561
2023-06-29,86300,86700,85700,86000,761277,-0.00462962963
2023-06-30,86800,88600,86700,88500,1899152,0.0290697674
2023-07-03,89000,89000,87700,88500,951562,0
2023-07-04,88900,89900,88300,88900,963786,0.00451977401
2023-07-05,89400,89800,87700,88100,950585,-0.00899887514
2023-07-06,87800,89700,87700,89000,1394753,0.010215664
2023-07-07,88100,88400,86700,87900,982277,-0.0123595506
2023-07-10,88000,88500,86800,87500,870366,-0.00455062571
2023-07-11,87000,88500,86900,88500,802263,0.0114285714
2023-07-12,88800,88900,87100,88400,798856,-0.0011299435
2023-07-13,88500,88800,87400,87500,989972,-0.0101809955
2023-07-14,88100,89300,87900,88700,1212425,0.0137142857
2023-07-17,88400,89100,86500,86600,968236,-0.02367531
2023-07-18,86900,87300,85200,85900,962946,-0.00808314088
2023-07-19,85900,86500,85100,86000,709966,0.00116414435
2023-07-20,85300,86000,84000,84300,1040267,-0.0197674419
2023-07-21,85100,85100,83900,84500,769963,0.00237247924
2023-07-24,84200,84500,83100,83500,969395,-0.0118343195
2023-07-25,84300,85300,83500,84600,1095142,0.0131736527
2023-07-26,84000,84200,81600,82600,2126961,-0.0236406619
